season,matchday,home_team,away_team,date,home_goals,away_goals,elo_home,elo_away,home_pts5,away_pts5,home_gf5,home_ga5,away_gf5,away_ga5
2024,1,Genoa CFC,FC Internazionale Milano,2024-08-17 16:30:00+00:00,2,2,1500.0,1500.0,0,0,0,0,0,0
2024,1,Parma Calcio 1913,ACF Fiorentina,2024-08-17 16:30:00+00:00,1,1,1500.0,1500.0,0,0,0,0,0,0
2024,1,Empoli FC,AC Monza,2024-08-17 18:45:00+00:00,0,0,1500.0,1500.0,0,0,0,0,0,0
2024,1,AC Milan,Torino FC,2024-08-17 18:45:00+00:00,2,2,1500.0,1500.0,0,0,0,0,0,0
2024,1,Bologna FC 1909,Udinese Calcio,2024-08-18 16:30:00+00:00,1,1,1500.0,1500.0,0,0,0,0,0,0
2024,1,Hellas Verona FC,SSC Napoli,2024-08-18 16:30:00+00:00,3,0,1500.0,1500.0,0,0,0,0,0,0
2024,1,Cagliari Calcio,AS Roma,2024-08-18 18:45:00+00:00,0,0,1500.0,1500.0,0,0,0,0,0,0
2024,1,SS Lazio,Venezia FC,2024-08-18 18:45:00+00:00,3,1,1500.0,1500.0,0,0,0,0,0,0
2024,1,US Lecce,Atalanta BC,2024-08-19 16:30:00+00:00,0,4,1500.0,1500.0,0,0,0,0,0,0
2024,1,Juventus FC,Como 1907,2024-08-19 18:45:00+00:00,3,0,1500.0,1500.0,0,0,0,0,0,0
2024,2,Parma Calcio 1913,AC Milan,2024-08-24 16:30:00+00:00,2,1,1500.0,1500.0,1,1,1,1,2,2
2024,2,Udinese Calcio,SS Lazio,2024-08-24 16:30:00+00:00,2,1,1500.0,1510.0,1,3,1,1,3,1
2024,2,FC Internazionale Milano,US Lecce,2024-08-24 18:45:00+00:00,2,0,1500.0,1490.0,1,0,2,2,0,4
2024,2,AC Monza,Genoa CFC,2024-08-24 18:45:00+00:00,0,1,1500.0,1500.0,1,1,0,0,2,2
2024,2,ACF Fiorentina,Venezia FC,2024-08-25 16:30:00+00:00,0,0,1500.0,1490.0,1,0,1,1,1,3
2024,2,Torino FC,Atalanta BC,2024-08-25 16:30:00+00:00,2,1,1500.0,1510.0,1,3,2,2,4,0
2024,2,SSC Napoli,Bologna FC 1909,2024-08-25 18:45:00+00:00,3,0,1490.0,1500.0,0,1,0,3,1,1
2024,2,AS Roma,Empoli FC,2024-08-25 18:45:00+00:00,1,2,1500.0,1500.0,1,1,0,0,0,0
2024,2,Cagliari Calcio,Como 1907,2024-08-26 16:30:00+00:00,1,1,1500.0,1490.0,1,0,0,0,0,3
2024,2,Hellas Verona FC,Juventus FC,2024-08-26 18:45:00+00:00,0,3,1510.0,1510.0,3,3,3,0,3,0
2024,3,Venezia FC,Torino FC,2024-08-30 16:30:00+00:00,0,1,1490.28774368332,1510.28774368332,1,4,1,3,4,3
2024,3,FC Internazionale Milano,Atalanta BC,2024-08-30 18:45:00+00:00,4,0,1509.71225631668,1499.71225631668,4,3,4,2,5,2
2024,3,Bologna FC 1909,Empoli FC,2024-08-31 16:30:00+00:00,1,1,1489.71225631668,1510.0,1,4,1,4,2,1
2024,3,US Lecce,Cagliari Calcio,2024-08-31 16:30:00+00:00,1,0,1480.28774368332,1499.71225631668,0,2,0,6,1,1
2024,3,SS Lazio,AC Milan,2024-08-31 18:45:00+00:00,2,2,1499.71225631668,1490.0,3,1,4,3,3,4
2024,3,SSC Napoli,Parma Calcio 1913,2024-08-31 18:45:00+00:00,2,1,1500.28774368332,1510.0,3,4,3,3,3,2
2024,3,ACF Fiorentina,AC Monza,2024-09-01 16:30:00+00:00,2,2,1499.71225631668,1490.0,2,1,1,1,0,1
2024,3,Genoa CFC,Hellas Verona FC,2024-09-01 16:30:00+00:00,0,2,1510.0,1500.0,4,3,3,2,3,3
2024,3,Juventus FC,AS Roma,2024-09-01 18:45:00+00:00,0,0,1520.0,1490.0,6,1,6,0,1,2
2024,3,Udinese Calcio,Como 1907,2024-09-01 18:45:00+00:00,1,0,1510.28774368332,1490.28774368332,4,1,3,2,1,4
2024,4,Como 1907,Bologna FC 1909,2024-09-14 13:00:00+00:00,2,2,1480.8627549611654,1490.2955217453048,1,2,1,5,2,5
2024,4,Empoli FC,Juventus FC,2024-09-14 16:00:00+00:00,0,0,1509.4167345713752,1519.1386701595557,5,7,3,2,6,0
2024,4,AC Milan,Venezia FC,2024-09-14 18:45:00+00:00,4,0,1490.2794684162,1480.8627549611654,2,1,5,6,1,4
2024,4,Genoa CFC,AS Roma,2024-09-15 10:30:00+00:00,1,1,1499.71225631668,1490.8613298404443,4,2,3,4,1,2
2024,4,Atalanta BC,ACF Fiorentina,2024-09-15 13:00:00+00:00,3,2,1490.0,1499.43278790048,3,3,5,6,3,3
2024,4,Torino FC,US Lecce,2024-09-15 13:00:00+00:00,0,0,1519.7127324054748,1490.846244312232,7,3,5,3,1,6
2024,4,Cagliari Calcio,SSC Napoli,2024-09-15 16:00:00+00:00,0,4,1489.153755687768,1510.56721209952,2,6,1,2,5,4
2024,4,AC Monza,FC Internazionale Milano,2024-09-15 18:45:00+00:00,1,1,1490.2794684162,1519.4245126333599,2,7,2,3,8,2
2024,4,Parma Calcio 1913,Udinese Calcio,2024-09-16 16:30:00+00:00,2,3,1499.7205315838,1519.7127324054748,4,7,4,4,4,2
2024,4,SS Lazio,Hellas Verona FC,2024-09-16 18:45:00+00:00,2,1,1499.43278790048,1510.28774368332,4,6,6,5,5,3
2024,5,Cagliari Calcio,Empoli FC,2024-09-20 16:30:00+00:00,0,2,1479.769305292716,1509.6964813615991,2,6,1,6,3,2
2024,5,Hellas Verona FC,Torino FC,2024-09-20 18:45:00+00:00,2,3,1499.9754145591505,1518.883794605798,6,8,6,5,5,3
2024,5,Venezia FC,Genoa CFC,2024-09-21 13:00:00+00:00,2,0,1471.1337234137286,1499.457561269275,1,5,1,8,4,5
2024,5,Juventus FC,SSC Napoli,2024-09-21 16:00:00+00:00,0,0,1518.8589233693317,1519.951662494572,8,9,6,0,9,4
2024,5,US Lecce,Parma Calcio 1913,2024-09-21 18:45:00+00:00,2,2,1491.675182111909,1490.2953191251706,4,4,1,6,6,7
2024,5,ACF Fiorentina,SS Lazio,2024-09-22 10:30:00+00:00,2,1,1489.1613571284688,1509.7451170246495,3,7,5,6,8,6
2024,5,AC Monza,Bologna FC 1909,2024-09-22 13:00:00+00:00,1,2,1491.1163680835477,1490.024091580623,3,3,3,4,4,7
2024,5,AS Roma,Udinese Calcio,2024-09-22 16:00:00+00:00,3,0,1491.1160248878493,1529.1379448641042,3,10,2,3,7,4
2024,5,FC Internazionale Milano,AC Milan,2024-09-22 18:45:00+00:00,1,2,1518.587612966012,1500.0084999636367,8,5,9,3,9,6
2024,5,Atalanta BC,Como 1907,2024-09-24 18:45:00+00:00,2,3,1500.2714307720112,1481.1341851258471,6,2,8,8,3,7
2024,6,AC Milan,US Lecce,2024-09-27 18:45:00+00:00,3,0,1510.5427406850492,1491.635466671428,8,5,11,7,3,8
2024,6,Udinese Calcio,FC Internazionale Milano,2024-09-28 13:00:00+00:00,2,3,1518.0479339677156,1508.0533722445996,10,8,7,7,10,5
2024,6,Genoa CFC,Juventus FC,2024-09-28 16:00:00+00:00,0,3,1488.644136872642,1518.8903748258797,5,9,4,7,6,0
2024,6,Bologna FC 1909,Atalanta BC,2024-09-28 18:45:00+00:00,1,1,1500.055529721962,1489.7211729399469,6,6,6,8,10,11
2024,6,Torino FC,SS Lazio,2024-09-29 10:30:00+00:00,2,3,1528.3401043470972,1499.1533609735523,11,7,8,5,9,8
2024,6,Como 1907,Hellas Verona FC,2024-09-29 13:00:00+00:00,3,2,1491.6844429579114,1490.5191048178513,5,6,6,9,8,8
2024,6,AS Roma,Venezia FC,2024-09-29 13:00:00+00:00,2,1,1502.2060357842379,1481.9471478103615,6,4,5,3,3,8
2024,6,Empoli FC,ACF Fiorentina,2024-09-29 16:00:00+00:00,0,0,1518.837232049612,1499.753113179566,9,6,5,2,7,7
2024,6,SSC Napoli,AC Monza,2024-09-29 18:45:00+00:00,2,0,1519.920211038024,1481.0849299422086,10,3,9,4,4,6
2024,6,Parma Calcio 1913,Cagliari Calcio,2024-09-30 18:45:00+00:00,2,3,1490.3350345656515,1470.628554604703,5,2,8,9,1,8
2024,7,SSC Napoli,Como 1907,2024-10-04 16:30:00+00:00,3,1,1528.8070738150045,1501.650901955821,13,8,11,1,9,8
2024,7,Hellas Verona FC,Venezia FC,2024-10-04 18:45:00+00:00,2,1,1480.5526458199417,1472.5295855263635,3,4,7,11,3,7
2024,7,Udinese Calcio,US Lecce,2024-10-05 13:00:00+00:00,1,0,1507.760346681059,1482.1791251900354,9,5,8,9,3,7
2024,7,Atalanta BC,Genoa CFC,2024-10-05 16:00:00+00:00,5,1,1490.0185319478485,1479.5125010006152,4,4,7,12,2,8
2024,7,FC Internazionale Milano,Torino FC,2024-10-05 18:45:00+00:00,3,2,1518.3409595312562,1517.5020128997282,10,10,11,5,8,6
2024,7,Juventus FC,Cagliari Calcio,2024-10-06 10:30:00+00:00,1,1,1528.0220106979066,1481.1951452225726,9,4,6,0,4,10
2024,7,Bologna FC 1909,Parma Calcio 1913,2024-10-06 13:00:00+00:00,0,0,1499.7581707140605,1479.7684439477819,6,4,6,8,9,11
2024,7,SS Lazio,Empoli FC,2024-10-06 13:00:00+00:00,2,1,1509.9914524209212,1518.2884987119971,7,9,9,9,5,2
2024,7,AC Monza,AS Roma,2024-10-06 16:00:00+00:00,1,1,1472.1980671652282,1511.6235980682359,2,8,4,8,7,4
2024,7,ACF Fiorentina,AC Milan,2024-10-06 18:45:00+00:00,2,1,1500.301846517181,1519.999082166442,6,10,6,6,12,5
2024,8,Como 1907,Parma Calcio 1913,2024-10-19 13:00:00+00:00,1,1,1492.430931591169,1480.343160515346,7,2,9,10,7,10
2024,8,Genoa CFC,Bologna FC 1909,2024-10-19 13:00:00+00:00,2,2,1469.8147967461418,1499.1834541464964,1,7,2,13,6,5
2024,8,AC Milan,Udinese Calcio,2024-10-19 16:00:00+00:00,1,0,1509.432756767491,1517.0253875760907,10,9,12,5,7,8
2024,8,Juventus FC,SS Lazio,2024-10-19 18:45:00+00:00,1,0,1526.6823272598679,1520.230215223176,7,10,4,1,10,8
2024,8,Empoli FC,SSC Napoli,2024-10-20 10:30:00+00:00,0,1,1508.0497359097424,1538.0270441796565,6,13,4,3,11,2
2024,8,US Lecce,ACF Fiorentina,2024-10-20 13:00:00+00:00,0,6,1472.9140842950037,1510.868171916132,5,8,3,6,8,7
2024,8,Venezia FC,Atalanta BC,2024-10-20 13:00:00+00:00,0,2,1462.7604667265298,1499.7162362023219,3,7,4,9,11,11
2024,8,Cagliari Calcio,Torino FC,2024-10-20 16:00:00+00:00,3,2,1482.5348286606113,1507.526159677892,4,7,4,10,8,8
2024,8,AS Roma,FC Internazionale Milano,2024-10-20 18:45:00+00:00,0,1,1510.4936857818948,1528.3168127530923,9,10,7,3,12,7
2024,8,Hellas Verona FC,AC Monza,2024-10-21 18:45:00+00:00,0,3,1490.3217646197754,1473.3279794515693,6,3,9,9,5,8
2024,9,Udinese Calcio,Cagliari Calcio,2024-10-25 16:30:00+00:00,2,0,1506.8068888762496,1493.2528989731318,6,7,6,9,7,11
2024,9,Torino FC,Como 1907,2024-10-25 18:45:00+00:00,1,0,1496.8080893653716,1492.0831578811901,4,8,9,11,10,10
2024,9,SSC Napoli,US Lecce,2024-10-26 13:00:00+00:00,1,0,1547.1663626179213,1464.002165974836,13,2,10,1,2,12
2024,9,Atalanta BC,Hellas Verona FC,2024-10-26 18:45:00+00:00,6,1,1508.6565570433575,1479.8330338471822,10,3,13,7,7,12
2024,9,Parma Calcio 1913,Empoli FC,2024-10-27 11:30:00+00:00,1,1,1480.6909342253248,1498.9104174714776,3,5,7,9,3,3
2024,9,SS Lazio,Genoa CFC,2024-10-27 14:00:00+00:00,3,0,1510.4159005903316,1470.6580870946132,9,2,8,7,4,13
2024,9,AC Monza,Venezia FC,2024-10-27 14:00:00+00:00,2,2,1483.8167102241625,1453.8201458854942,5,3,6,6,4,10
2024,9,FC Internazionale Milano,Juventus FC,2024-10-27 17:00:00+00:00,4,4,1537.8042714438445,1536.4966418927122,10,9,9,7,5,1
2024,9,ACF Fiorentina,AS Roma,2024-10-27 19:45:00+00:00,5,1,1519.7800902362997,1501.0062270911426,10,8,12,5,7,4
2024,10,Cagliari Calcio,Bologna FC 1909,2024-10-29 17:30:00+00:00,0,2,1483.6428163770493,1498.340163798025,7,7,7,9,7,6
2024,10,US Lecce,Hellas Verona FC,2024-10-29 17:30:00+00:00,1,0,1456.351132286079,1470.6607435024791,1,3,2,13,7,16
2024,10,AC Milan,SSC Napoli,2024-10-29 19:45:00+00:00,0,2,1519.651255467332,1554.8173963066783,12,13,11,3,7,1
2024,10,Empoli FC,FC Internazionale Milano,2024-10-30 17:30:00+00:00,0,3,1498.3864987505744,1537.7666350176578,5,10,4,4,12,10
2024,10,Venezia FC,Udinese Calcio,2024-10-30 17:30:00+00:00,3,2,1454.6813775731994,1516.416971472332,4,6,6,8,5,7
2024,10,Atalanta BC,AC Monza,2024-10-30 19:45:00+00:00,2,0,1517.8288473880605,1482.9554785364573,10,5,16,6,7,7
2024,10,Juventus FC,Parma Calcio 1913,2024-10-30 19:45:00+00:00,2,2,1536.534278318899,1481.214852946228,9,4,9,5,6,7
2024,10,Genoa CFC,ACF Fiorentina,2024-10-31 17:30:00+00:00,0,1,1461.7974401176937,1529.2402603215853,1,13,3,15,15,3
2024,10,Como 1907,SS Lazio,2024-10-31 19:45:00+00:00,1,5,1482.2191439579929,1519.276547567251,7,9,8,9,9,6
2024,10,AS Roma,Torino FC,2024-10-31 19:45:00+00:00,1,0,1491.546057005857,1506.672103288569,7,6,7,8,10,11
2024,11,Bologna FC 1909,US Lecce,2024-11-02 14:00:00+00:00,1,0,1507.9173922862944,1466.7627632785664,9,3,7,4,1,11
2024,11,Udinese Calcio,Juventus FC,2024-11-02 17:00:00+00:00,0,2,1504.6585459536257,1534.9553773666285,6,9,7,7,11,7
2024,11,AC Monza,AC Milan,2024-11-02 19:45:00+00:00,0,1,1473.955857470814,1510.6599760212841,5,9,6,7,7,5
2024,11,SSC Napoli,Atalanta BC,2024-11-03 11:30:00+00:00,0,3,1563.8086757527262,1526.8284684537039,15,13,9,1,16,3
2024,11,Torino FC,ACF Fiorentina,2024-11-03 14:00:00+00:00,0,1,1496.2370155345732,1537.3231195923388,3,13,7,10,14,2
2024,11,Hellas Verona FC,AS Roma,2024-11-03 17:00:00+00:00,3,2,1460.2491125099918,1501.9811447598527,3,7,5,14,5,8
2024,11,FC Internazionale Milano,Venezia FC,2024-11-03 19:45:00+00:00,1,0,1546.6380126320933,1466.4398030919058,13,4,14,8,7,10
2024,11,Empoli FC,Como 1907,2024-11-04 17:30:00+00:00,1,0,1489.515121136139,1473.2817154443362,2,4,2,7,6,12
2024,11,Parma Calcio 1913,Genoa CFC,2024-11-04 17:30:00+00:00,0,1,1482.7937538984984,1453.7145808469402,4,1,6,7,3,14
2024,11,SS Lazio,Cagliari Calcio,2024-11-04 19:45:00+00:00,2,1,1528.2139760809077,1474.0655878887799,12,7,13,5,7,9
2024,12,Genoa CFC,Como 1907,2024-11-07 19:45:00+00:00,1,1,1464.549597838964,1463.7486107108207,4,1,4,11,3,11
2024,12,US Lecce,Empoli FC,2024-11-08 19:45:00+00:00,1,1,1457.941779609066,1499.0482258696545,3,4,1,9,3,7
2024,12,Venezia FC,Parma Calcio 1913,2024-11-09 14:00:00+00:00,1,2,1458.7079516338931,1471.9587369064745,4,4,6,9,4,5
2024,12,Cagliari Calcio,AC Milan,2024-11-09 17:00:00+00:00,3,3,1465.6116065525553,1519.6074591725,4,9,5,9,6,4
2024,12,Juventus FC,Torino FC,2024-11-09 19:45:00+00:00,2,0,1544.0855680406555,1487.4140869298972,9,3,10,7,5,8
2024,12,Atalanta BC,Udinese Calcio,2024-11-10 11:30:00+00:00,2,1,1537.8888430862153,1495.5283552795986,15,6,18,2,5,6
2024,12,ACF Fiorentina,Hellas Verona FC,2024-11-10 14:00:00+00:00,3,1,1546.1460481970148,1471.4445135988599,15,6,15,2,6,13
2024,12,AS Roma,Bologna FC 1909,2024-11-10 14:00:00+00:00,2,3,1490.7857436709846,1516.7383759557947,4,9,5,10,6,3
2024,12,AC Monza,SS Lazio,2024-11-10 17:00:00+00:00,0,1,1465.008374319598,1536.6679574171324,5,12,6,6,12,4
2024,12,FC Internazionale Milano,SSC Napoli,2024-11-10 19:45:00+00:00,1,1,1554.369864090106,1552.7483011202148,13,12,12,6,7,4
2024,13,Hellas Verona FC,FC Internazionale Milano,2024-11-23 14:00:00+00:00,0,5,1463.5620662457648,1554.323192094969,3,11,5,15,10,5
2024,13,AC Milan,Juventus FC,2024-11-23 17:00:00+00:00,0,0,1518.0657261895904,1552.4687454181349,7,11,6,7,11,6
2024,13,Parma Calcio 1913,Atalanta BC,2024-11-23 19:45:00+00:00,1,3,1481.577533459602,1546.6756159467104,6,15,6,6,15,2
2024,13,Genoa CFC,Cagliari Calcio,2024-11-24 11:30:00+00:00,2,2,1464.5265436170466,1467.153339535465,5,4,4,7,7,11
2024,13,Como 1907,ACF Fiorentina,2024-11-24 14:00:00+00:00,0,2,1463.771664932738,1554.02849555011,2,15,3,9,16,2
2024,13,Torino FC,AC Monza,2024-11-24 14:00:00+00:00,1,1,1479.0309095524178,1457.0421453380407,3,4,3,7,5,6
2024,13,SSC Napoli,AS Roma,2024-11-24 17:00:00+00:00,1,0,1552.7949731153517,1481.531334254617,10,3,5,4,6,12
2024,13,SS Lazio,Bologna FC 1909,2024-11-24 19:45:00+00:00,3,0,1544.6341863986897,1525.9927853721624,12,11,11,3,8,4
