matchday,home_team,away_team,quota_1,quota_X,quota_2,quota_1X,quota_2X,quota_GG,quota_NG
13,Como 1907,US Sassuolo Calcio,1.63,3.9,5.25,1.14,2.2,1.85,1.87
13,Genoa CFC,Hellas Verona FC,2.65,3.1,2.75,1.43,1.45,1.83,1.88
13,Parma Calcio 1913,Udinese Calcio,2.05,3.0,4.1,1.22,1.73,2.15,1.63
13,Juventus FC,Cagliari Calcio,1.32,5.0,9.5,1.04,3.25,2.3,1.55
13,AC Milan,SS Lazio,1.6,4.0,5.5,1.13,2.25,1.9,1.8
13,US Lecce,Torino FC,3.0,2.85,2.6,1.45,1.35,2.05,1.7
13,AC Pisa 1909,FC Internazionale Milano,9.0,5.25,1.3,3.25,1.04,2.15,1.63
13,Atalanta BC,ACF Fiorentina,1.7,3.75,4.6,1.17,2.05,1.73,2.0
13,AS Roma,SSC Napoli,2.55,2.8,3.1,1.33,1.47,1.92,1.77
13,Bologna FC 1909,US Cremonese,1.45,4.1,7.0,1.07,2.6,2.2,1.6
